Crit Consensus,Description,Director,Entity,Genre,Id,Mpa Rating,Stars,Title,Year,F1,Imdb Gross,IMDB Rating,Imdb Votes,Runtime,Tom Ratings,Tomato Meter,Tomato Review,Tomatoes Audience Score,Tomatoes Score Delta
"Find one of these old serials, friend. They're a tonic for the debilitating malady of Superhero Overload.","Superhero Captain America battles the evil forces of the archvillain called The Scarab, who poisons his enemies and steals a secret device capable of destroying buildings by sound vibrations.",Elmer Clifton,MARVEL,"Action, Adventure, Sci-Fi",1,Approved,"Elmer Clifton,Dick Purcell,Lorna Gray,Lionel Atwill,Charles Trowbridge",Captain America,1944,1,0,5.5,844,244,250,,1,82,
"While it has its moments, Howard the Duck suffers from an uneven tone and mediocre performances",A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop an alien invasion with the help of a nerdy scientist and a struggling female rock singer.,Willard Huyck,MARVEL,"Action, Adventure, Comedy",2,PG,"Willard Huyck,Lea Thompson,Jeffrey Jones,Tim Robbins,Ed Gale",Howard the Duck,1986,2,16300000,4.7,44073,110,50000,13,78,38,25
"Though some may find the plot a bit lacking, Blade's action is fierce, plentiful, and appropriately stylish for a comic book adaptation.","A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.",Stephen Norrington,MARVEL,"Action, Horror, Sci-Fi",3,R,"Stephen Norrington,Wesley Snipes,Stephen Dorff,Kris Kristofferson,N'Bushe Wright",Blade,1998,3,70090000,7.1,251243,120,250000,55,103,78,23
"Faithful to the comics and filled with action, X-Men brings a crowded slate of classic Marvel characters to the screen with a talented ensemble cast and surprisingly sharp narrative focus.","In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",Bryan Singer,MARVEL,"Action, Adventure, Sci-Fi",4,PG-13,"Bryan Singer,Patrick Stewart,Hugh Jackman,Ian McKellen,Famke Janssen",X-Men,2000,4,157300000,7.4,580354,104,250000,82,174,83,1
"Though Blade II offers more of what worked in the original, its plot and character development appear to have been left on the cutting room floor.","Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.",Guillermo del Toro,MARVEL,"Action, Fantasy, Horror",5,R,"Guillermo del Toro,Wesley Snipes,Kris Kristofferson,Ron Perlman,Leonor Varela",Blade II,2002,5,82350000,6.7,203813,117,250000,57,150,68,11
"Not only does Spider-Man provide a good dose of web-swinging fun, it also has a heart, thanks to the combined charms of director Sam Raimi and star Tobey Maguire.","When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",Sam Raimi,MARVEL,"Action, Adventure, Sci-Fi",6,PG-13,"Sam Raimi,Tobey Maguire,Kirsten Dunst,Willem Dafoe,James Franco",Spider-Man,2002,6,403710000,7.3,702986,121,250000,90,244,67,-23
"While Ben Affleck fits the role and the story is sporadically interesting, Daredevil is ultimately a dull, brooding origin story that fails to bring anything new to the genre.",A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.,Mark Steven Johnson,MARVEL,"Action, Crime",7,PG-13,"Mark Steven Johnson,Ben Affleck,Jennifer Garner,Colin Farrell,Michael Clarke Duncan",Daredevil,2003,7,102540000,5.3,208847,103,250000,44,229,35,-9
"Tightly scripted, solidly acted, and impressively ambitious, X2: X-Men United is bigger and better than its predecessor -- and a benchmark for comic sequels in general.","When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.",Bryan Singer,MARVEL,"Action, Sci-Fi, Thriller",8,PG-13,"Bryan Singer,Patrick Stewart,Hugh Jackman,Halle Berry,Ian McKellen",X2: X-Men United,2003,8,214950000,7.4,519747,134,250000,85,246,85,0
"While Ang Lee's ambitious film earns marks for style and an attempt at dramatic depth, there's ultimately too much talking and not enough smashing.","Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.",Ang Lee,MARVEL,"Action, Sci-Fi",9,PG-13,"Ang Lee,Eric Bana,Jennifer Connelly,Sam Elliott,Josh Lucas",Hulk,2003,9,132180000,5.6,255002,138,250000,62,237,29,-33
A good cast fails to elevate this overly violent and by-the-numbers revenge flick.,An undercover FBI agent becomes a vigilante and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.,Jonathan Hensleigh,MARVEL,"Action, Crime, Drama",10,R,"Jonathan Hensleigh,Thomas Jane,John Travolta,Samantha Mathis,Laura Harring",The Punisher,2004,10,33680000,6.4,151872,124,250000,28,172,63,35
"Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original.",Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,Sam Raimi,MARVEL,"Action, Adventure, Sci-Fi",11,PG-13,"Sam Raimi,Tobey Maguire,Kirsten Dunst,Alfred Molina,James Franco",Spider-Man 2,2004,11,373590000,7.3,556980,127,250000,93,274,82,-11
